Question,Type,Options,Required,Section
"[SE SIM] Quantos clientes e com que nível de comprometimento?","Paragraph",,"No",
"PARTE 8: DEFININDO O MVP","Section",,,"Yes"
"Se tivéssemos que colocar isso na mão de UM cliente em 60 dias, marque o que seria ESSENCIAL (sem isso não funciona):","Checkboxes","Depósito via TED/Pix|Mint automático de tokens|Dashboard para o cliente|Transferência entre carteiras|Resgate para reais|KYC integrado|API para integração|App mobile|Suporte multi-token (BRL1, BRL2, etc)|Histórico de transações|Relatórios de compliance","Yes",
"Qual é a ÚNICA funcionalidade que, se não tiver, você não consegue validar se isso resolve o problema?","Short Answer",,"Yes",
"O que você considera 'sucesso' para o MVP?","Checkboxes","X clientes usando ativamente|Y volume transacionado|Z% de conversão|Validação técnica|Validação regulatória|Feedback positivo|Outro","Yes",
"PARTE 9: RISCOS E PRÓXIMOS PASSOS","Section",,,"Yes"
"Quais são suas MAIORES preocupações com esse projeto?","Paragraph",,"Yes",
"O que poderia fazer isso NÃO dar certo?","Checkboxes","Riscos técnicos|Riscos regulatórios|Falta de demanda de mercado|Custos muito altos|Complexidade de implementação|Concorrência|Outro","Yes",
"Existe algum risco que, se acontecer, vocês DESISTEM do projeto?","Paragraph",,"No",
"Antes de começar o desenvolvimento, que VALIDAÇÕES precisam ser feitas?","Checkboxes","Conversar com mais clientes|Validar com advogados|Fazer POC técnico|Conseguir licenças|Validar custos|Outro","Yes",
"Quando vocês precisam tomar a decisão de GO/NO-GO nesse projeto?","Multiple Choice","Nas próximas 2 semanas|No próximo mês|Nos próximos 3 meses|Sem prazo definido","No",
"Há algo importante que não perguntamos e você gostaria de compartilhar?","Paragraph",,"No",
"INFORMAÇÕES DE CONTATO","Section",,,"Yes"
"Nome completo","Short Answer",,"Yes",
"Email","Short Answer",,"Yes",
"Empresa","Short Answer",,"Yes",
"Cargo","Short Answer",,"Yes",
"Telefone (opcional)","Short Answer",,"No",
